Category,Rand,ID,Market Name,Price,subject,Seller Name,Old Code,New Code,Notes
Information,872,152180,TradeRoute,1.99,♕ BECOME A DOXING GOD ♕,TheShop130597,,Doxing,
Guides & Tutorials,3668,124273,TradeRoute,0.65,Ultimate Carding Pack,PrawnCracker32799,,Carding,
Security,8528,153433,TradeRoute,5,BANK OF AMERICA BUSSINES MOBILE EXPLOIT,Torso216098,,Hacking – Mobile,
Information,15404,100848,TradeRoute,700,Delete negative accounts from your credit report,etimbuk7591,Adversarial Behaviours,Modifying Credit,
Information,3469,157085,TradeRoute,0.5,***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),GodsLeftNut210998,Malware and Attack Technology,Hacking – General,
Security,10732,297814,Hansa,1,PGP Tutorial For Newbs (Gpg4Win),KingCarder,Cryptography,PGP/GPG,
Guides & Tutorials,12545,148259,TradeRoute,99,2017 ADVANCED/BEGINNERS COMPLETE DARKNET FRAUD ENCYCLOPEDIA,TopNotchMoneyMaker66297,Adversarial Behaviours,Fraud,
Security,8563,107793,TradeRoute,50,MULTI-HACKER #1 ONLINE HACKING SYSTEM 2017,TopNotchMoneyMaker68497,,Hacking – Website,
Guides & Tutorials,16377,162760,TradeRoute,2.99,How To Make Fireworks,Junkiepig66630498,,Other,
E-Books,14756,294580,Hansa,0.99,voynich manuscript,OnePiece,Other,eBooks – Other,
E-books,17209,115161,TradeRoute,0.99,Anarchy Cookbook Version 2000,captainkirk0--,,Weaponry & Explosives,
Security,10790,112279,TradeRoute,5,★ BANK DROPS GUIDE ★,Torso216398,,Other,
E-books,16235,140479,TradeRoute,1,How To Pass Your Fake ID,thekindcalf16100,Adversarial Behaviours,Resources – Identity Documents,
Guides & Tutorials,5407,116749,TradeRoute,1.99,★ HOW TO PASS A DRUG TEST ★,TheShop132197,Drugs,Drugs – General,
E-Books,19355,285507,Hansa,0.98,THE ULTIMATE BITCOIN MONEY MAKING GUIDE,rochies,Other,eBooks – Other,
Security,14787,284704,Hansa,2.99,Protecting Your Online Presence 2016,pckabml,Privacy and Online Rights,Anonymity – Other,
Guides & Tutorials,3652,146761,TradeRoute,0.99,How To Scam On LocalBitcoins.com,PrawnCracker32999,Adversarial Behaviours,Fraud,
Security,2924,161629,TradeRoute,1,ANDROID Carding SETUP Guide 100%,UnleashClearLoyalty84798,Adversarial Behaviours,Carding,
Security,11993,285564,Hansa,2.99,Mastering Python Forensics 2015,pckabml,Forensics,Digital Forensics,
Guides & Tutorials,2096,129846,TradeRoute,0.5,Cashing out cvv Via E-Gift Cards.,blackdawg3699,,Cashing Out,
E-Books,18954,289470,Hansa,19.99,Udemy -  How I Sell $7500 Month Online Without Google or Facebook Ads,Junkiepig666,Other,Other,
Guides & Tutorials,8767,127204,TradeRoute,4.99,CARDING - CC To BTC,Junkiepig66630498,,Carding,
Security,1963,292311,Hansa,2.99,Protecting Yourself Online For Dummies 2014,pckabml,Privacy and Online Rights,Anonymity – Other,
Security,11619,157778,TradeRoute,2.99,IPVANISH.COM – VPN – ★PREMIUM ACCOUNT★ [LIFETIME],colombiaconnection198499,Network Security,Anonymity – VPN,
Guides & Tutorials,3093,147873,TradeRoute,5,CREDIT CARD TO MONEYGRAM CASHOUT,TopNotchMoneyMaker67997,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,11463,138719,TradeRoute,0.89,How to make alcohol,nbholmz10096,,Drugs – Production,
Guides & Tutorials,17777,133590,TradeRoute,0.99,How To Grow Marijuana,drunkninja170997,,Drugs – Production,
Security,14178,115797,TradeRoute,5,AMAZON TO BTC GUIDE,Torso215998,,Cashing Out,
Guides & Tutorials,5461,158208,TradeRoute,0.99,How To Grow Magic Mushrooms,drunkninja171497,,Drugs – Production,
E-Books,19785,295765,Hansa,0.99,Mindfucking: A Critique of Mental Manipulation,captainkirk,Other,eBooks – Other,
E-Books,4012,288300,Hansa,20,International Passport Scans Mega Pack,DigitalDealer,Adversarial Behaviours,Resources – Identity Documents,
Security,7560,112923,TradeRoute,2.99,TOR Browser Guide for Beginners How to Be Anonymous Online,pckabml142100,,Anonymity – Tor,
Guides & Tutorials,17380,146601,TradeRoute,0.99,How To Make Money Trading Cryptocurrency,drunkninja168797,,Cryptocurrency – Trading,
Information,3071,158746,TradeRoute,0.11,CARDING LESSONS VOL. I,Torso216098,,Carding,
Guides & Tutorials,324,107507,TradeRoute,5,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,,Carding,
Guides & Tutorials,16798,124939,TradeRoute,2,ALIEXPRES CARD METHOD,Kaptein65794,Adversarial Behaviours,Carding,
Guides & Tutorials,16814,121432,TradeRoute,7,[TUTO FR] => Cashout de CC vers un compte IBAN,SplashStars3897,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,7153,104171,TradeRoute,2,CC to Paypal Cashout,Kaptein66294,,Cashing Out,
Security,13566,290822,Hansa,0.99,Safety Guide - Online Safety Guide,ProfessorDark,Privacy and Online Rights,Anonymity – Other,
E-books,13043,137097,TradeRoute,2.99,Bitcoin Beginner A Step-by-Step Guide to Buying Selling 2013,pckabml143100,,Cryptocurrency – General,
Others Guides,7040,282737,Apple Market,13.09,700 $ on alphabay !! - 98 % Double Your Bitcoins in ONE Day ! GUARANTEED! $7000+ in 20 TWENTY MINUTES [BITCOINTHIEF],TheCousteauMotorcyclist,Other,Cryptocurrency – General,
Guides & Tutorials,18410,107175,TradeRoute,4,Carding Tutorial For Beginners - All You Need To Get Started,Prosser1979,,Carding,
eBooks,11204,91507,Silk3,20,FRESH CARDABLE SITES & METHODS May 2017,Osquare,Adversarial Behaviours,Carding,
Digital EBooks,14718,282915,Apple Market,2.99,The Stars The Definitive Visual Guide 2016,pckabml,Other,eBooks – Other,
Guides & Tutorials,13130,92822,TradeRoute,4.99,★ The Bitcoin Revolution ★ Methods ★,UnleashClearLoyalty84798,,Cryptocurrency – General,
E-books,10887,142868,TradeRoute,3.99,Visual Studio Tips and Tricks II 2017,pckabml143100,,eBooks – Technical,
Guides & Tutorials,18688,107454,TradeRoute,50,ALL MY VIDEO TUTORIALS FOR HUGE SUCCESS IN CARDING !!!,MoneyMule217298,Adversarial Behaviours,Carding,
E-Books,9893,297623,Hansa,24,Pick-10-Book List: CSS CSS3 HTML and HTML5 Web Development,pckabml,Other,eBooks – Technical,
Guides & Tutorials,15036,91632,TradeRoute,0.99,How To Hack A WiFi Network,PinkQueen143197,,Hacking – Wireless Networks,
Guides & Tutorials,19846,115264,TradeRoute,1.99,★ [2017] Hacked PayPal to Bitcoin ★,TheShop131697,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,6914,131488,TradeRoute,2.99,♕ CVV Cashout Via BTC ♕,TheShop133597,Adversarial Behaviours,Cashing Out,
Information,16448,125899,TradeRoute,25,ALL 50 STATES DRIVERS LICENSE TEMPLATES,TopNotchMoneyMaker68497,Adversarial Behaviours,Fraud,
Guides & Tutorials,19131,112785,TradeRoute,14.99,★WELLS FARGO TO BTC!! MAKE THOUSANDS!★,best4u5192,,Cashing Out,
Digital EBooks,11108,282650,Apple Market,2.99,Idiots Guides Zen Doodling 2015,pckabml,Other,eBooks – Other,
Guides & Tutorials,18037,104235,TradeRoute,1.99,♕ Apple Carding Method ♕,TheShop133597,Adversarial Behaviours,Carding,
Guides & Tutorials,6453,101604,TradeRoute,0.99,How To Hack Any Gmail Account (Very Easy),drunkninja170497,,Hacking – Website,
Guides & Tutorials,287,153609,TradeRoute,2.39,★Alpha02 carding guide★  EBOOK,JohnBronz32695,Adversarial Behaviours,Carding,
Guides & Tutorials,10790,159332,TradeRoute,1,Aliexpress Carding Guide,TheDigital12699,Adversarial Behaviours,Carding,
Security,15568,160150,TradeRoute,2,IPVanish.com ♜Premium Account♜ [LIFETIME WARRANTY],flappydfoc12799,Network Security,Anonymity – VPN,
E-books,12737,137939,TradeRoute,0.11,Tor and the Dark Art of Anonimity ★★★,Torso212498,,Anonymity – Tor,
Information,1101,117762,TradeRoute,5,A TO Z MOBILE CHECK FRAUD,Torso214298,Adversarial Behaviours,Fraud,
Security,5315,136209,TradeRoute,3.99,2x VPN Pack,best4u5192,Network Security,Anonymity – VPN,
Guides & Tutorials,205,129783,TradeRoute,10,✪✪✪ ULTIMATE CC TO BTC GUIDE✪✪✪,alpha_xxx4293,Adversarial Behaviours,Carding,
Information,7915,109335,TradeRoute,3,Mega HACK Pack for Beginners 2GB,CrdinProfito13695,,Hacking – General,
Guides & Tutorials,2695,141350,TradeRoute,10,★ Complete Video Method CC TO BTC ★,tickler8100,Adversarial Behaviours,Carding,
Information,18275,105217,TradeRoute,0.5,How to use SOCKS and VPS (change your ip ),Hotmilk140897,Network Security,Anonymity – Proxies,
E-books,4700,148551,TradeRoute,8,VIDEO Cashing Out CC in Front of YOU ! $250 BTC in 15 MIN,MoneyMule213698,,Cashing Out,
Guides & Tutorials,11573,157066,TradeRoute,8,Paypal to BTC Working Method JULY 2017,MoneyMule217898,,Cashing Out,
E-Books,17903,288270,Hansa,10,CitiBlack Credit Card Template (Front + Back),DigitalDealer,Adversarial Behaviours,Carding,
Information,4525,107410,TradeRoute,5,Guide to Postal Smuggiling ★ Make the USPS Work for YOU,Null65097,,Transportation/Stealth,
Guides & Tutorials,12200,96374,TradeRoute,5.99,NEW WELLS FARGO CASHOUT BYPASS SEC.,sarah3272396,,Cashing Out,
Guides & Tutorials,8495,140678,TradeRoute,0.99,How To Scam On LocalBitcoins,drunkninja168797,Adversarial Behaviours,Fraud,
Guides & Tutorials,10009,100303,TradeRoute,10,"MEGA PACK OF 3020 SCANS IDs, CC, BILLS, MORE",TopNotchMoneyMaker68497,Adversarial Behaviours,Resources – Identity Documents,
Guides & Tutorials,17279,127223,TradeRoute,0.99,How To Card Aliexpress,drunkninja170897,,Carding,
E-Books,17105,292008,Hansa,0.99,ANDROID HACKS - TRULY OWN YOUR DEVICE,ProfessorDark,Web and Mobile Security,Hacking – Mobile,
E-books,5822,134968,TradeRoute,2.99,Bitcoin and Digital Currencies The New World of Money,pckabml139100,,Cryptocurrency – General,
E-Books,5669,285902,Hansa,0.99,✔ ⟁ CARDING TUTORIALS - APEX COLLECTION - ⟁ (͠≖ ͜ʖ͠≖),ElCartel,Adversarial Behaviours,Carding,
Guides & Tutorials,18671,97160,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso216398,,Cashing Out,
Guides & Tutorials,16761,140308,TradeRoute,4.99,Guide To postal Smuggling,Junkiepig66630398,,Transportation/Stealth,
E-books,6275,122853,TradeRoute,0.99,Aleister Crowley - The Book of Lies,captainkirk0--,Other,eBooks – Other,
Guides & Tutorials,16839,104403,TradeRoute,5,cashing out cvv.pdf,DAY-ONE4100,,Cashing Out,
E-Books,15245,297663,Hansa,2.99,Pick-a-Book List: CERTIFICATION GUIDES: EC-Council IC3 ISACA LPIC Oracle Red Hat VMware,pckabml,Other,eBooks – Technical,
Guides & Tutorials,18959,144224,TradeRoute,7,Bitcoin Beginners Guide,Aracay152100,,Cryptocurrency – General,
Security,8249,157343,TradeRoute,5,MAKE BIG MONEY WITH BANK LOGINS,Torso216098,Adversarial Behaviours,Carding,
Guides & Tutorials,5317,111675,TradeRoute,4.99,The carding amd cashout ULTIMATE PACK!,nbholmz9595,,Carding,
Guides & Tutorials,4728,119711,TradeRoute,0.64,How To Grow Cannabis (Over 50 books) Complete Guide,PrawnCracker32799,,Drugs – Production,
Guides & Tutorials,4600,128039,TradeRoute,0.99,How To Make A Phishing Website,drunkninja171497,,Fraud,
E-books,12377,131811,TradeRoute,10,How To Stop Getting Panic Attacks,Aracay152100,,eBooks – Other,
Guides & Tutorials,15122,135152,TradeRoute,10,Coinbase|WesternUnion|BankTransfer| CASHOUT GUIDE.,tickler7100,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,4821,155466,TradeRoute,2.99,Drugs The Straight Facts - Nicotine,Junkiepig66630398,,Drugs – General,
eBooks,14843,91480,Silk3,3,Yasou paypal Guide,EztkapdCards,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,7055,119063,TradeRoute,500,Ruin Your Competitors Ranking,etimbuk7591,,SEO,
E-Books,15621,295742,Hansa,25,Double Your Bitcoins x180% in 2 month GUARANTEED! (Any Amount!) $5000 in 2 TWO MINUTES (20+ COPIES S,cocacola007,Other,Cryptocurrency – Trading,
E-Books,372,298362,Hansa,3,Atm hack to get much more money than you withdraw,TheDigital,Malware and Attack Technology,Hacking – General,
Guides & Tutorials,15465,155099,TradeRoute,0.99,♕ How To Be A Pro Carder ♕,TheShop131997,Adversarial Behaviours,Carding,
E-Books,11931,288232,Hansa,1.99,★★★ Earn $1 in Bitcoin a Day on 100% Auto-Pilot ★★★,DigitalDealer,Other,Cryptocurrency – General,
E-books,15243,107473,TradeRoute,0.99,★ 7 STEPS TO TOTAL FINANCIAL FITNESS ★,TheShop132197,Other,Other,
E-Books,1641,294407,Hansa,0.99,Communist manifesto,OnePiece,Other,eBooks – Other,
E-books,14572,123069,TradeRoute,0.99,Wicca and Witchcraft E-Books Collection,captainkirk0--,,eBooks – Other,
Guides & Tutorials,15195,98659,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso215998,,Cashing Out,
Guides & Tutorials,6443,147758,TradeRoute,2.99,Drugs The Straight Facts - Marijuana,Junkiepig66630498,,Drugs – General,
Information,2179,124717,TradeRoute,4,"1500 Cardable sites + UK, DE sites + BONUS GUIDES",steemdude74098,Adversarial Behaviours,Carding,
E-books,2007,137314,TradeRoute,4.99,Bitcoin: The Future of Money? - Audio Book,Junkiepig66630498,,Cryptocurrency – General,
E-books,15005,160606,TradeRoute,0.99,Marijuana Growing Ebook Collection,captainkirk0--,Drugs,Drugs – Production,
Guides & Tutorials,2565,129504,TradeRoute,10,How to Make an Advanced Molotov Cocktail,Aracay152100,,Weaponry & Explosives,
E-books,2389,111447,TradeRoute,2.99,Bitcoin Blockchain Cryptocurrency Cryptology 2016,pckabml139100,,Cryptocurrency – General,
Guides & Tutorials,11229,135744,TradeRoute,0.5,Hacking Exposed Web Applications.,blackdawg3999,Web and Mobile Security,Hacking – Website,
E-books,15634,132684,TradeRoute,0.99,LSD-25 and Tryptamine Syntheses Overview & Reference G,captainkirk0--,Drugs,Drugs – Production,
E-books,11463,120592,TradeRoute,4.99,[UPDATED 2017] AMAZON + EBAY PACKAGE + FREEBIES,Cyberzen1894,,Other,
E-Books,16586,288472,Hansa,2.99,Pick-a-Book List: JAVASCRIPT Programming,pckabml,Other,eBooks – Technical,
Guides & Tutorials,11493,145824,TradeRoute,9.99,★CVV to BTC Shortest Method (100% suucess rate)★,FraudBanner109038098,Adversarial Behaviours,Cashing Out,
Security,16263,284699,Hansa,2.99,Digital Forensics Threatscape and Best Practices 2016,pckabml,Forensics,Digital Forensics,
Digital EBooks,5424,282921,Apple Market,2.99,Writing for Interaction Crafting the Information Experience 2013,pckabml,Other,eBooks – Other,
Security,16858,131463,TradeRoute,12,NORDVPN.COM - ★PREMIUM ACCOUNT★ [Lifetime WARRANTY],colombiaconnection202499,Network Security,Anonymity – VPN,
Information,7961,110220,TradeRoute,5,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,,Carding,
E-Books,15445,297558,Hansa,24,Pick-10-Book List: Microsoft OFFICE: Access Excel OneNote Outlook PowerPoint Publisher Word,pckabml,Other,eBooks – Technical,
E-books,10419,162492,TradeRoute,3.99,Raspberry Pi Supercomputing and Scientific Programming 2017,pckabml142100,,eBooks – Technical,
Guides & Tutorials,15180,105656,TradeRoute,0.11,Tor and the Dark Art of Anonimity ★★★,Torso212398,,Anonymity – Tor,
E-books,2355,98052,TradeRoute,3,Mega HACK Pack for Beginners 2GB,CrdinProfito13695,,Hacking – General,
Guides & Tutorials,2148,112660,TradeRoute,3.99,★ MONEY MAKING MEGAPACK [Updated 2016] ★,TheShop131697,,Other,
Guides & Tutorials,15733,147126,TradeRoute,0.5,7 Reasons your credit card gets blocked (interesting Article,l33ter129498,Adversarial Behaviours,Carding,
Guides & Tutorials,8447,94239,TradeRoute,2,Buy Bitcoins With Credit Card,Kaptein66494,,Cashing Out,
Information,13842,116139,TradeRoute,1.99,♕ DELL Carding Method ♕,TheShop132197,Adversarial Behaviours,Carding,
Digital EBooks,3296,282451,Apple Market,1,Hack With IP Address,SpongeBob,Malware and Attack Technology,Hacking – General,
Guides & Tutorials,7810,118118,TradeRoute,0.5,Hacking Wireless Networks For Dummies.,blackdawg40100,,Hacking – Wireless Networks,
Guides & Tutorials,9,119584,TradeRoute,2.99,Drugs the Straight Facts - Codeine,Junkiepig66630498,,Drugs – General,
Guides & Tutorials,14817,157479,TradeRoute,5,WALMART RETURN SCAM EASY $200 - GET FREE STUFF,TopNotchMoneyMaker68597,,Fraud,
Information,6796,150238,TradeRoute,50,MULTI-HACKER #1 ONLINE HACKING SYSTEM 2017,TopNotchMoneyMaker68497,,Hacking – Website,
Guides & Tutorials,16196,109530,TradeRoute,30,How to be a Pro Carder,ShroomPrince6399,,Carding,
Digital EBooks,3337,282845,Apple Market,3,The Gourmet iOS Developers Cookbook 2015,pckabml,Other,eBooks – Technical,
Others Guides,5396,282678,Apple Market,1,FREE Dominos,YourPartnerInCrime,Adversarial Behaviours,Fraud,
E-books,13546,158071,TradeRoute,0.99,Amphetamine Synthesis - Otto Snow,captainkirk0--,Drugs,Drugs – Production,
Guides & Tutorials,8518,139147,TradeRoute,1.99,THE WIFI HACKING BIBLE,stevejobs66631299,,Hacking – Wireless Networks,
Guides & Tutorials,1174,101712,TradeRoute,2.99,William Powell's The Anarchist Cookbook 1989,pckabml143100,,Weaponry & Explosives,
E-Books,9660,288256,Hansa,5,Alpha - University Of Carding,DigitalDealer,Adversarial Behaviours,Carding,
Guides & Tutorials,1398,141559,TradeRoute,4.44,"★ [2017] CARDABLE SITES LIST (+20,000!) byTheShop™ ★",TheShop133597,Adversarial Behaviours,Carding,
E-books,13198,121875,TradeRoute,3.99,React.js Book Solid Understanding Hard to Learn JavaScript,pckabml145100,,eBooks – Technical,
Guides & Tutorials,5120,116447,TradeRoute,8,[PERSONAL METHOD] Convert your CCs in CASH [WORLDWIDE],SplashStars3797,Adversarial Behaviours,Carding,
Guides & Tutorials,19364,118340,TradeRoute,5,FULLZ PHISHING GUIDE,Torso216898,,Fraud,
Guides & Tutorials,10100,135669,TradeRoute,2.99,Drugs The Straight Facts - Date Rape Drugs,Junkiepig66630498,,Drugs – General,
Information,6415,103887,TradeRoute,8,COMPLETE HACKING COURSE [FROM A-Z] GO FROM NOOB TO EXPERT,TopNotchMoneyMaker68997,Malware and Attack Technologies,Hacking – General,
Security,7799,106618,TradeRoute,12,TORGUARD.NET VPN+Proxy Bundle ★PREMIUM ACCOUNT★,colombiaconnection195999,,Anonymity – VPN,
E-Books,17420,294392,Hansa,0.99,"Baudrillard, Jean (Selected Writings)",OnePiece,Other,eBooks – Other,
Guides & Tutorials,9418,161462,TradeRoute,2.99,100 Deadly Skills The SEAL Operative's Guide 2015,geekgorilla7100,Other,eBooks – Other,
E-books,16382,119632,TradeRoute,2.99,Digital Gold Bitcoin and the Inside Story of the Misfits,pckabml143100,,Cryptocurrency – General,
Guides & Tutorials,14873,103377,TradeRoute,0.99,Guide To Postal Smuggling,PinkQueen144097,,Transportation/Stealth,
Guides & Tutorials,17637,145020,TradeRoute,10,MAKE $6K DAY BUYING ETHEREUM WITH CC OR PAYPAL,TheWealthMaker27897,,Cashing Out,
E-books,1927,91823,TradeRoute,0.99,"Drugs, The Straight Facts (Complete Series)",captainkirk0--,,Drugs – General,
Guides & Tutorials,5020,119782,TradeRoute,0.99,The Ultimate Fraud Tutorial Pack (2450+ Tutorials),drunkninja171297,,Fraud,
Guides & Tutorials,7371,138055,TradeRoute,1.99,♕ Apple Carding Method ♕,TheShop132297,Adversarial Behaviours,Carding,
Guides & Tutorials,4220,119956,TradeRoute,0.99,How To Get Netflix Premium For Free,PinkQueen140897,,Hacking – Website,
Security,5282,141322,TradeRoute,3.99,TOR Access the Darknet and Bitcoin How to Get Anonymously,pckabml143100,,Anonymity – Tor,
E-books,4226,95105,TradeRoute,4.99,Romeo and Juliet by William Shakespeare,Junkiepig66630498,,eBooks – Other,
Guides & Tutorials,371,94587,TradeRoute,1.64,100% FRESH & GENUINE ANONYMOUS VOICE MAKER,james202027799,Privacy and Online Rights,Anonymity – Other,
Guides & Tutorials,11349,152844,TradeRoute,2,3 ways to cashout a credit card,Kaptein66694,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,10392,102515,TradeRoute,0.5,Carding - How to make Track1 from Track2.,blackdawg3999,,Carding,
Guides & Tutorials,3381,109250,TradeRoute,2.99,Introduction to carding for newbies and newcomers,CustomerIsKing2193,,Carding,
Security,17940,126223,TradeRoute,6,TunnelBear VPN Account Premium | lifetime,KingShot38100,,Anonymity – VPN,
Security,16284,101592,TradeRoute,40,VN5SOCKS.NET – ★PREMIUM ACCOUNTS★ [LIFETIME],colombiaconnection195999,,Anonymity – Proxies,
E-books,12288,160005,TradeRoute,1.99,★ AK-47 Kalashnikov: GUIDES MEGAPACK ★,TheShop133597,,Other,
Guides & Tutorials,12431,118289,TradeRoute,2,eBay Carding - Paypal Carding Guides-tutorials,l33ter129498,,Carding,
E-Books,19445,288254,Hansa,5,★ HOW TO DISAPPEAR IN THE USA ★▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀,DigitalDealer,Privacy and Online Rights,Anonymity – Other,
Security,12563,97890,TradeRoute,7,Three Steps To Handle A Subpoena & Protect Your Privacy,Aracay152100,,Anonymity – Other,
Guides & Tutorials,9256,145733,TradeRoute,0.6,HOW TO MAKE MONEY WITH YOUR RAT SLAVES,l33ter129398,,Other,
E-books,2881,144531,TradeRoute,0.99,Drugs 2.0: The Web Revolution That's Changing How the,captainkirk0--,,Drugs – General,
E-books,8143,158630,TradeRoute,5,"7 DROP Methods To Receive CARDED items(Phones,Clothes, etc.)",steemdude74298,Adversarial Behaviours,Carding,
Digital EBooks,6523,282843,Apple Market,3,The Ethics of Influence Government in the Age of Behavioral 2016,pckabml,Other,eBooks – Other,
E-books,5888,125850,TradeRoute,1,The Art of Seduction: Robert Greene E-book pdf,DRviagraMD55100,,Other,
E-books,18141,144443,TradeRoute,75,How to create a CPN Profile and Tri-Merge it,etimbuk7591,Adversarial Behaviours,Modifying Credit,
Information,7146,134371,TradeRoute,1,Bitcoin Cashout Guide,thekindcalf16100,,Cashing Out,
Guides & Tutorials,9181,159985,TradeRoute,0.65,Ultimate Carding Pack,PrawnCracker32799,,Carding,
Guides & Tutorials,15994,116040,TradeRoute,5,My TOP 15 Socks5 Providers + VIDEO Tutorial,steemdude74298,Network Security,Anonymity – Proxies,
Guides & Tutorials,12356,136132,TradeRoute,0.99,Amazon Refund Scam,drunkninja170297,Adversarial Behaviours,Fraud,
Guides & Tutorials,12059,108579,TradeRoute,2.99,Badass Survival Secrets Essential Skills to Survive,pckabml143100,,eBooks – Other,
Guides & Tutorials,11747,122900,TradeRoute,2.99,PURCHASE BITCOIN EASILY USING HACKED PAYPAL ACCOUNT,best4u5192,,Cashing Out,
Information,4755,121578,TradeRoute,3,CC to Moneygram Cashout GUIDE,steemdude74298,,Cashing Out,
Guides & Tutorials,16470,154055,TradeRoute,25000,★ Money Doubler Script From Hell 666 ★  - HALF PRICE !!!,worldbest0--,,Other,
Guides & Tutorials,10250,151794,TradeRoute,1.99,How to Make Amphetamine WITH PHOTOS,stevejobs66631999,,Drugs – Production,
Guides & Tutorials,13555,97250,TradeRoute,2,HOW TO: MMORPG Carding,TheDigital13499,Adversarial Behaviours,Carding,
Information,14956,126479,TradeRoute,0.5,vpn->tor->socks,Hotmilk141197,,Anonymity – VPN,
Guides & Tutorials,14977,148371,TradeRoute,2.99,A Guidebook to the Psilocybin Mushrooms of Mexico,Junkiepig66630398,,Drugs – General,
Guides & Tutorials,15788,94875,TradeRoute,25,GUIDE: PAYPAL to BTC Shortest Method (100% suucess rate),mirage126397,Adversarial Behaviours,Cashing Out,
Security,6156,285006,Hansa,2.99,A Human Readable Guide to Cyber Security 2015,pckabml,Other,eBooks – Technical,
E-Books,3616,285882,Hansa,2.97,✔ ⟁ AMAZON FRAUDING 2016 ⟁ (͠≖ ͜ʖ͠≖),ElCartel,Adversarial Behaviours,Fraud,
Security,4327,150172,TradeRoute,5,NOOB TO EXPERT DOXING REVENGE GUIDE 2017,TopNotchMoneyMaker69197,Adversarial Behaviours,Doxing,
Information,489,120881,TradeRoute,0.5,Cardable casino,Hotmilk141197,,Carding,
Guides & Tutorials,1660,114630,TradeRoute,0.99,How To Cash out Credit Cards To Gift Cards,PinkQueen140697,,Cashing Out,
Guides & Tutorials,4866,151240,TradeRoute,0.66,How To Grow Magic Mushrooms,PrawnCracker33199,,Drugs – Production,
Security,16767,103411,TradeRoute,5,How to use SOCKS ( newbie guide ),Dr.Whit389697,Network Security,Anonymity – Proxies,
Guides & Tutorials,9017,126482,TradeRoute,4.99,Udemy - The Complete Bitcoin Course,Junkiepig66630498,,Cryptocurrency – General,
Guides & Tutorials,3133,157150,TradeRoute,10,DoubleBTC in ONE DAY BitcoinThief,leakedguy18100,,Cryptocurrency – General,
E-books,12600,132694,TradeRoute,5,VMware Software for Carding + KEY Original Price $299,MoneyMule216998,,Carding,
E-books,15796,130716,TradeRoute,0.99,LSD Psychotherapy,captainkirk0--,Drugs,Drugs – General,
Digital EBooks,6708,282810,Apple Market,1,Contemporary Drug Synthesis,captainkirk,Drugs,Drugs – Production,
E-books,7682,132619,TradeRoute,20,"Massive Deepweb E-Book dump|Carding,Paypal,BitCoins,Security",Null65497,Adversarial Behaviours,Carding,
Guides & Tutorials,13951,134915,TradeRoute,1,HOW TO CARDING ON ALIEXPRESS,l33ter129198,,Carding,
Guides & Tutorials,5491,125527,TradeRoute,5,WALMART RETURN SCAM EASY $200 - GET FREE STUFF,TopNotchMoneyMaker67997,,Fraud,
Guides & Tutorials,9116,132512,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso216398,,Cashing Out,
Information,2711,139075,TradeRoute,6,"BANNED eBooks: Meth Secrets, Grow Weed, Mushrooms & MORE",TopNotchMoneyMaker69097,Drugs,Drugs – Production,
Guides & Tutorials,11623,135203,TradeRoute,2,Apple Carding Tutorial Fresh,TheDigital12699,Adversarial Behaviours,Carding,
Guides & Tutorials,10727,135892,TradeRoute,5,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker69197,,Cashing Out,
Guides & Tutorials,2353,147388,TradeRoute,4.99,The carding amd cashout ULTIMATE PACK!,nbholmz9595,,Carding,
Guides & Tutorials,4547,111139,TradeRoute,25,100% LEGAL MAKE A TON OF MONEY TRADING ALT-COINS,TopNotchMoneyMaker68897,Other,Cryptocurrency – Trading,
Guides & Tutorials,5265,148373,TradeRoute,3.99,★ MONEY MAKING MEGAPACK [Updated 2016] ★,TheShop131697,,Other,
Guides & Tutorials,15544,106840,TradeRoute,4.5,★★★ CASHING OUT CC'S with SHOPIFY ★★★,tradeconnection6100,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,4459,115043,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso216098,,Cashing Out,
Digital EBooks,18233,282687,Apple Market,2.99,Microservices Flexible Software Architecture 2016,pckabml,Other,eBooks – Technical,
E-books,5164,152196,TradeRoute,3,"Drug Tutorials (Dmt, Cocaine, Heroin, Mdma, Meth)(Clone)",OnePiece36100,,Drugs – General,
Guides & Tutorials,3761,101254,TradeRoute,1.99,*How to Make Heroin at Home*,stevejobs66631099,Drugs,Drugs – Production,
