Category,ID,Market Name,Product Name,Seller Name,Code – Andy,Code – Joseph,Agreement
Guides & Tutorials,109564,TradeRoute,How To Launder Bitcoin,PinkQueen143697,Cashing Out,Cashing Out,,TRUE
Digital EBooks,282725,Apple Market,Protect Your Digital Life The Online Security Guide 2016,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,162760,TradeRoute,How To Make Fireworks,Junkiepig66630498,Other,Other,,TRUE
E-books,129571,TradeRoute,Mastering Witchcraft: A Practical Guide for Witches,captainkirk0--,eBooks – Other,eBooks – Other,,TRUE
Information,110220,TradeRoute,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,Carding,Carding,,TRUE
Guides & Tutorials,105695,TradeRoute,Remove Negative Items From Your Credit Report Permanently,etimbuk7591,Modifying Credit,Modifying Credit,,TRUE
Information,97409,TradeRoute,★ [2017] CC to BTC Cashout 2.0 RELOADED ★,TheShop131697,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,129783,TradeRoute,✪✪✪ ULTIMATE CC TO BTC GUIDE✪✪✪,alpha_xxx4293,Carding,Cashing Out,,FALSE
Information,151851,TradeRoute,♕ DELL Carding Method ♕,TheShop132197,Carding,Carding,,TRUE
Guides & Tutorials,123569,TradeRoute,Bitcoin Cash Machine V3,Gunbot16694,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,123311,TradeRoute,EARN $1000's TRADING FOREX & CRYPTOS★100% LEGAL,randominion187799,Cryptocurrency – Trading,Cryptocurrency – Trading,,TRUE
Digital EBooks,282879,Apple Market,"Ebooks of Hacking, Carding and much more",lucifer21732173,Hacking – General,Hacking – General,,TRUE
Information,146943,TradeRoute,+++ How to FUCK VIsa verification ( VBV checking ),Hotmilk140897,Carding,Carding,,TRUE
Guides & Tutorials,149579,TradeRoute,How To Order From Cracked Amazon Accounts,drunkninja168797,Fraud,Fraud,,TRUE
Guides & Tutorials,129690,TradeRoute,▓▒░★ COLLEGE OF FRAUD ★░▒▓,Torso216398,Fraud,Fraud,,TRUE
Guides & Tutorials,119705,TradeRoute,amazon carding 2k17 (Updated method),probitexchange6100,Carding,Carding,,TRUE
Guides & Tutorials,130412,TradeRoute,CARDING BANK TRANSFERS 100% working method,tickler8100,Carding,Carding,,TRUE
Guides & Tutorials,160651,TradeRoute,ALIEXPRES CARD METHOD,Kaptein65794,Carding,Carding,,TRUE
E-books,142378,TradeRoute,Reactive Android Programming 2017,pckabml135100,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,103552,TradeRoute,★ [2017] CC to BTC Cashout 2.0 RELOADED ★,TheShop132297,Cashing Out,Cashing Out,,TRUE
E-books,126984,TradeRoute,A Guidebook To The Psilocybin Mushrooms Of Mexico,captainkirk0--,Drugs – General,Drugs – General,,TRUE
E-Books,296034,Hansa,How To Solve Almost Any Sexual Problem The Easy Way,captainkirk,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,115730,TradeRoute,How to Purify Cocaine!!! Easy Method!!!,Junkiepig66630498,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,135983,TradeRoute,Apple Carding 2017,crazycoke35397,Carding,Carding,,TRUE
E-Books,294326,Hansa,Against the Gods (buy 1 get 1 free),OnePiece,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,159165,TradeRoute,OzRort's School of Swindle - Hacking RDPs,OzRort108100,Hacking – General,Fraud,,FALSE
Guides & Tutorials,105846,TradeRoute,"★ [2017] CARDABLE SITES LIST (+20,000!) byTheShop™ ★",TheShop133597,Carding,Carding,,TRUE
E-books,152196,TradeRoute,"Drug Tutorials (Dmt, Cocaine, Heroin, Mdma, Meth)(Clone)",OnePiece36100,Drugs – General,Drugs – General,,TRUE
E-Books,288468,Hansa,All Perl Scripts for DoS You Could Ever Imagine -  Good buy for those who know PERL SCRIPT,dawn676,Denial of Service,Denial of Service,,TRUE
Guides & Tutorials,99466,TradeRoute,★ [v.1 Sources] ★  [VPN+RDP+SOCKS5+MORE....] ★,BlackGohan37100,Anonymity – VPN,Anonymity – VPN,,TRUE
Guides & Tutorials,139308,TradeRoute,How To Scam On LocalBitcoins,hgh_somatropin5100,Fraud,Fraud,,TRUE
Guides & Tutorials,157119,TradeRoute,CARDING BANK TRANSFERS 100% working method,fence16693,Carding,Carding,,TRUE
E-Books,297189,Hansa,The Whole Drug Manufacturer's Catalog,Heisenbarg,Drugs – Production,Drugs – Production,,TRUE
E-Books,296551,Hansa,absorption_of_nitrous_gases,color,eBooks – Other,eBooks – Other,,TRUE
E-Books,288323,Hansa,"Phishing Pages, Hacking Tools, DDOS Tools and Cracking Tools MEGA-SUPER-GOLDEN PACK!!!",DigitalDealer,Fraud,Hacking – General,,FALSE
Security,121631,TradeRoute,MAKE BIG MONEY WITH BANK LOGINS,Torso216098,Carding,Fraud,,FALSE
Guides & Tutorials,154577,TradeRoute,♕ How To: Carding Microsoft ♕,TheShop131697,Carding,Carding,,TRUE
E-books,126591,TradeRoute,11 SEO Mistakes You Must Avoid On Your Website,Aracay152100,SEO,SEO,,TRUE
Guides & Tutorials,97175,TradeRoute,How To Hack a Coca Cola Machine,PinkQueen143197,Hacking – General,Hacking – General,,TRUE
E-books,158771,TradeRoute,THE WIFI HACKING BIBLE 2017,stevejobs66630599,Hacking – Wireless Networks,Hacking – Wireless Networks,,TRUE
Guides & Tutorials,115384,TradeRoute,How To Card Dell,drunkninja170497,Carding,Carding,,TRUE
E-books,141138,TradeRoute,Statistics for Machine Learning 2017,pckabml135100,eBooks – Tech,eBooks – Tech,,TRUE
E-Books,295949,Hansa,Aleister Crowley - The Book of Lies,captainkirk,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,133037,TradeRoute,★ HOW TO MAKE MDMA ★,TheShop131697,Drugs – Production,Drugs – Production,,TRUE
Information,148026,TradeRoute,♕ How To Make Cocaine ♕,TheShop132197,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,108511,TradeRoute,Bitcoin Beginners Guide,Aracay152100,Cryptocurrency – General,Cryptocurrency – General,,TRUE
E-books,137314,TradeRoute,Bitcoin: The Future of Money? - Audio Book,Junkiepig66630498,Cryptocurrency – General,Cryptocurrency – General,,TRUE
E-Books,285507,Hansa,THE ULTIMATE BITCOIN MONEY MAKING GUIDE,rochies,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,139347,TradeRoute,★AMAZON REFUND SCAM!!!!!★,best4u5192,Fraud,Fraud,,TRUE
E-books,132991,TradeRoute,Dumps Carding Tutorial PACK+ICQ Secret Group (For Dumps+Pin),steemdude75198,Carding,Carding,,TRUE
E-books,123966,TradeRoute,Drugs The Straight Facts Alzheimer's Disease and Memory,love2xlr811992,Drugs – General,Drugs – General,,TRUE
Guides & Tutorials,110111,TradeRoute,★CVV to BTC Shortest Method (100% suucess rate)★,FraudBanner109038098,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,127957,TradeRoute,★ The Men's Fitness Exercise Bible ★,TheShop132297,Other,eBooks – Other,,FALSE
Security,284324,Hansa,Exchanging Files with PGP,OnePiece,PGP/GPG,PGP/GPG,,TRUE
Guides & Tutorials,161667,TradeRoute,[TUTO FR] Comment se faire $500 / jour (CC to BTC),SplashStars3797,Cashing Out,Cashing Out,,TRUE
Information,162599,TradeRoute,AMAZON REFUND SCAM GET iPHONE OR SAMSUNG S8 FREE 2017,MoneyMule217298,Fraud,Fraud,,TRUE
Information,142897,TradeRoute,"List Of Cardable Sites (20,000+)",PinkQueen140397,Carding,Carding,,TRUE
Guides & Tutorials,153251,TradeRoute,How To Make Heroin [WITH PHOTOS],MicroDroper50100,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,98000,TradeRoute,GUNSMITHING 101 - Make Guns And Gun Accessories,TopNotchMoneyMaker68997,Weaponry & Explosives,Weaponry & Explosives,,TRUE
Guides & Tutorials,153225,TradeRoute,Take Back Your Privacy The Barefoot Anarchist's Guide 2016,Null63897,Anonymity – Other,Anonymity – Other,,TRUE
Guides & Tutorials,130416,TradeRoute,carding  Etsy online marketplace,probitexchange6100,Carding,Carding,,TRUE
Digital EBooks,282883,Apple Market,The Majesty of Vue.js 2016,pckabml,eBooks – Other,eBooks – Tech,,FALSE
E-books,139367,TradeRoute,50 Recipes for Programming Node.js Volume 1 2017,pckabml142100,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,143298,TradeRoute,Ultimate Hacking Megapack 14gb,OnePiece37100,Hacking – General,Hacking – General,,TRUE
Guides & Tutorials,137613,TradeRoute,How To Make Money Trading Cryptocurrency,PinkQueen140797,Cryptocurrency – Trading,Cryptocurrency – Trading,,TRUE
E-Books,294496,Hansa,"Engles, The Peasant Question in France and Germany",OnePiece,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,106884,TradeRoute,Amphetamine Syntheses Overview & Reference Guide for Profess,Junkiepig66630498,Drugs – Production,Drugs – Production,,TRUE
Information,155349,TradeRoute,CCleaner PRO -- INCREASE YOUR SUCCESS IN CARDING,SplashStars3197,Carding,Carding,,TRUE
Guides & Tutorials,157745,TradeRoute,★ The Best Fraud and Bitcoin Grabbing Techniques ★,Emersonsuite225100,Fraud,Fraud,,TRUE
Security,147690,TradeRoute,Advanced Persistent Threat Hacking The Art 2015,geekgorilla7100,Hacking – General,Hacking – General,,TRUE
eBooks,298609,Silk3,Coding for Beginners in easy steps Basic Programming for All Age,junkiepig666,eBooks – Tech,eBooks – Tech,,TRUE
E-books,130818,TradeRoute,Romeo and Juliet by William Shakespeare,Junkiepig66630498,eBooks – Other,eBooks – Other,,TRUE
E-books,135863,TradeRoute,Aleister Crowley - The Book of Thoth [DW010],DigitalWisdom2990,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,123806,TradeRoute,Guide To Postal Smuggling,drunkninja170697,Transportation/Stealth,Transportation/Stealth,,TRUE
E-books,121062,TradeRoute,Digital Gold: Bitcoin and the Inside Story of the Misfits an,Junkiepig66630498,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,117132,TradeRoute,3 ways to cashout a credit card,Kaptein66694,Cashing Out,Cashing Out,,TRUE
E-books,131687,TradeRoute,Hacking Exposed Wireless,captainkirk0--,Hacking – Wireless Networks,Hacking – Wireless Networks,,TRUE
Guides & Tutorials,140530,TradeRoute,✪✪✪Hotels Guide (2017) Carder Academy *HQ*✪✪✪,alpha_xxx4293,Carding,Carding,,TRUE
Security,115985,TradeRoute,How to Make Thermite,Aracay152100,Weaponry & Explosives,Weaponry & Explosives,,TRUE
Guides & Tutorials,113346,TradeRoute,CARDING LESSONS,xfuckx44998,Carding,Carding,,TRUE
E-books,97900,TradeRoute,#1 New York Times BestSeller | You Are Bad@SS,UnleashClearLoyalty84898,eBooks – Other,eBooks – Other,,TRUE
Information,161611,TradeRoute,ALL 50 STATES DRIVERS LICENSE TEMPLATES,TopNotchMoneyMaker68497,Resources – Identity Documents,Resources – Identity Documents,,TRUE
Guides & Tutorials,128394,TradeRoute,CARDING TUTORIALS - ALL HERE -,ProfessorDark20198,Carding,Carding,,TRUE
E-books,116336,TradeRoute,★ How To Make a Girl Squirt ★,TheShop131697,Other,Other,,TRUE
E-Books,292928,Hansa,Collection Of Banned Books,DrunkDragon,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,145277,TradeRoute,How To Launder Bitcoin,PinkQueen143697,Cashing Out,Cashing Out,,TRUE
E-Books,288470,Hansa,All Perl Scripts for DoS You Could Ever Imagine -  Good buy for those who know PERL SCRIPT,dawn676,Denial of Service,Denial of Service,,TRUE
Guides & Tutorials,159694,TradeRoute,The Cannabis Grow Bible,Aracay152100,Drugs – Production,Drugs – Production,,TRUE
E-books,106720,TradeRoute,Bitcoin Milionaire VOL. II ★MUST HAVE!!!★,Torso215398,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,133709,TradeRoute,★HOW TO CARD AMAZON!!!,best4u5192,Carding,Carding,,TRUE
E-Books,297547,Hansa,Ayahuasca Cookbook Almost Free,OnePiece,Drugs – Production,Drugs – Production,,TRUE
Digital EBooks,282780,Apple Market,Straight to Hell True Tales of Deviance Debauchery 2015,pckabml,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,94388,TradeRoute,★ The Dark Art Of Death ★,l33ter127998,Other,Other,,TRUE
E-books,95973,TradeRoute,CC TO BTC - VIDEO PROOF GET 2+ BTC DAILY,TopNotchMoneyMaker69197,Cashing Out,Cashing Out,,TRUE
Security,96827,TradeRoute,PayPal Cashout + PayPal to BTC V.2  + [8 videos],Torso212398,Cashing Out,Cashing Out,,TRUE
E-books,96971,TradeRoute,LSD-25 and Tryptamine Syntheses Overview & Reference G,captainkirk0--,Drugs – Production,Drugs – Production,,TRUE
Information,113082,TradeRoute,Cardable CASINO Sites 2017,steemdude76397,Carding,Carding,,TRUE
Guides & Tutorials,135936,TradeRoute,"CC, paypal visa to BTC cashout methode 1 pack",xfuckx44998,Cashing Out,Cashing Out,,TRUE
E-Books,297534,Hansa,A Chemical Love Story Almost Free (buy 1 get 1 free),OnePiece,Drugs – General,Drugs – General,,TRUE
Guides & Tutorials,99225,TradeRoute,How To Hack Any Gmail Account,PinkQueen140797,Hacking – Website,Hacking – Website,,TRUE
Digital EBooks,282871,Apple Market,"12,000+ Kindle Book Pack",TheCousteauMotorcyclist,eBooks – Other,eBooks – Other,,TRUE
Digital EBooks,282650,Apple Market,Idiots Guides Zen Doodling 2015,pckabml,eBooks – Other,eBooks – Other,,TRUE
Security,289423,Hansa,Operating System Forensics 2016,pckabml,Digital Forensics,Digital Forensics,,TRUE
eBooks,299199,Silk3,Otto Snow collection Amphetamine syntheses etc.,SpeedyGonzalez,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,152743,TradeRoute,Amphetamine Synthesis-Sources-Easy(with pics)with SOURCES,Orangeone6099,Drugs – Production,Drugs – Production,,TRUE
Security,156903,TradeRoute,Tor and The Dark Net 2016,pckabml143100,Anonymity – Tor,Anonymity – Tor,,TRUE
Guides & Tutorials,114263,TradeRoute,★WELLS FARGO CASHOUT GUIDE!!!★,best4u5192,Cashing Out,Cashing Out,,TRUE
Digital EBooks,282829,Apple Market,"Marijuana Chemistry: Genetics, Processing, Potency 2nd Edition",captainkirk,Drugs – General,Drugs – General,,TRUE
Guides & Tutorials,94754,TradeRoute,Contact info to a reputable CPN vendor for credit profiles,etimbuk7591,Modifying Credit,Modifying Credit,,TRUE
Guides & Tutorials,129538,TradeRoute,♕ HOW TO SELL DRUGS ♕,TheShop130597,Drugs – General,Drugs – General,,TRUE
Guides & Tutorials,143556,TradeRoute,How To Become A Fake Uber Driver - Make $725+ Per Week,thebestseller69099,Fraud,Fraud,,TRUE
Guides & Tutorials,129299,TradeRoute,2 AUTOPILOT Methods to Get free BTC  + Free Premium VPN,nbholmz9095,Anonymity – VPN,Anonymity – VPN,,TRUE
Security,288122,Hansa,Hacking the Future Privacy Identity & Anonymity on the Web 2012,pckabml,Anonymity – Other,Anonymity – Other,,TRUE
Security,298048,Hansa,The Basics of Digital Privacy Simple Tools to Protect Your Personal Information & Your Identity 2014,pckabml,Anonymity – Other,Anonymity – Other,,TRUE
Guides & Tutorials,133291,TradeRoute,Wanna Get Revenge? We can fuck anyone up for you,etimbuk7591,Other,Other,Feels like we should have an extra-category for this?  Physical Security?,TRUE
E-Books,297635,Hansa,"Pick-a-Book List: INFOSEC, PRIVACY and SECURITY",pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,96374,TradeRoute,NEW WELLS FARGO CASHOUT BYPASS SEC.,sarah3272396,Cashing Out,Cashing Out,,TRUE
E-Books,297644,Hansa,Pick-10-Book List: APPLE OS X,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,155593,TradeRoute,How To Make A Phisher For A Website,l33ter127898,Fraud,Fraud,,TRUE
Guides & Tutorials,118451,TradeRoute,Ultimate Complete FRAUD Guide,LoneWolf8870--,Fraud,Fraud,,TRUE
Guides & Tutorials,149884,TradeRoute,2017 ULTIMATE MOBILE CARDING SETUP>>STOP FAILING AT CARDING,RBPshop81899,Carding,Carding,,TRUE
Information,150295,TradeRoute,Ultimate Celebrity Porn Leaks + The Fappening [Pics & Vids],fence16693,Other,Other,,TRUE
E-Books,294527,Hansa,"Julia Kristeva, The Sense and Non sense of Revolt",OnePiece,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,141657,TradeRoute,Steal your competitors Google traffic,etimbuk7591,SEO,SEO,,TRUE
Guides & Tutorials,120727,TradeRoute,Amazon Carding Guide,Junkiepig66630498,Carding,Carding,,TRUE
Guides & Tutorials,95316,TradeRoute,MINE MONERO (XMR) USING INFECTED COMPUTERS,TopNotchMoneyMaker68897,Cryptocurrency – General,Hacking – General,,FALSE
Guides & Tutorials,136394,TradeRoute,Simple method $50- $150 a day no investesment,l33ter127698,Other,Other,,TRUE
E-Books,297062,Hansa,Carding Guide For NOOBS ----- BASIC To Advanced -------,dawn676,Carding,Carding,,TRUE
E-Books,297617,Hansa,Pick-10-Book List: RUBY Programming and RAILS + SINATRA Frameworks,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
E-Books,291298,Hansa,How to make a lighter gas bomb.rtf,darkmarket,Weaponry & Explosives,Weaponry & Explosives,,TRUE
Security,108628,TradeRoute,Machine Learning and Security early release 2017,pckabml143100,eBooks – Tech,eBooks – Tech,,TRUE
Information,111230,TradeRoute,+++ How to FUCK VIsa verification ( VBV checking ),Hotmilk140897,Carding,Carding,,TRUE
Guides & Tutorials,123517,TradeRoute,eBay Carding Tutorial,l33ter129498,Carding,Carding,,TRUE
Information,106703,TradeRoute,★ HOW TO MAKE MDMA ★,TheShop131797,Drugs – Production,Drugs – Production,,TRUE
Digital EBooks,282752,Apple Market,Securing SQL Server DBAs Defending the Database 2016,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,130772,TradeRoute,CASH OUT CC to BTC 2017,best4u5192,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,147214,TradeRoute,Marijuana Horticulture: The Indoor/Outdoor Medical Grower's,Junkiepig66630398,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,133780,TradeRoute,BTGuard VPN Account,forum1792,Anonymity – VPN,Anonymity – VPN,,TRUE
E-books,151242,TradeRoute,CYBERCRIME UK VIRTUAL CARDING V.3,Torso212498,Carding,Carding,,TRUE
E-books,131991,TradeRoute,Hacking Wireless Networks for Dummies,captainkirk0--,Hacking – Wireless Networks,Hacking – Wireless Networks,,TRUE
Information,98658,TradeRoute,Bitcoin Cashout Guide,thekindcalf16100,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,139472,TradeRoute,♕Mastering Bitcoin♕ - Programming the Open Blockchain,Null63997,Cryptocurrency – General,Cryptocurrency – General,,TRUE
E-books,150999,TradeRoute,Raspberry Pi 3 Projects for Java Programmers 2017,pckabml139100,eBooks – Tech,eBooks – Tech,,TRUE
E-books,160689,TradeRoute,100 Ways To Disappear And Live Free,captainkirk0--,Anonymity – Other,Anonymity – Other,,TRUE
Guides & Tutorials,140149,TradeRoute,Basic Carding for Noobs,TheDigital13599,Carding,Carding,,TRUE
Information,147956,TradeRoute,★ ♕ PP & CC / CVV Cashout 2017 [LATEST] ♕ ★,TheShop132197,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,99691,TradeRoute,Apple Scam Phishing Website,l33ter128798,Fraud,Fraud,,TRUE
Guides & Tutorials,152058,TradeRoute,100 Hacks to Make More Money for Your Business,Junkiepig66630498,eBooks – Other,eBooks – Other,,TRUE
E-books,147950,TradeRoute,How To Get Chicks Keep Em Dump Em And Get Em Back Again,captainkirk0--,Other,Other,,TRUE
Guides & Tutorials,110621,TradeRoute,★★★ How to Trade Altcoins ★★★,Emersonsuite222100,Cryptocurrency – Trading,Cryptocurrency – Trading,,TRUE
E-Books,290815,Hansa,★★★ Pick up any carded items without ID & Name. ★★★ 100% WORKING ★★★ STAY SAFE ★★★ NO POLICE.,Medon,Carding,Carding,,TRUE
E-books,118953,TradeRoute,Bitcoin Beginner's Guide,TheDigital13499,Cryptocurrency – General,Cryptocurrency – General,,TRUE
E-Books,297107,Hansa,Pick-10-Book List: PYTHON Programming and Web Application Frameworks,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Information,108642,TradeRoute,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker68597,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,142462,TradeRoute,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso216098,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,119978,TradeRoute,Cashout PP Method,l33ter128898,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,95775,TradeRoute,♕ CVV Cashout Via BTC ♕,TheShop133597,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,98753,TradeRoute,Bank Zachodni WBK-Cashing out Btc through Prepaid VISA Cards,DAY-ONE4100,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,138055,TradeRoute,♕ Apple Carding Method ♕,TheShop132297,Carding,Carding,,TRUE
Information,142083,TradeRoute,My TOP 15 Socks5 Providers + VIDEO Tutorial,steemdude75298,Anonymity – Proxies,Anonymity – Proxies,,TRUE
Guides & Tutorials,98960,TradeRoute,BACKTRACK 5 R3 WIFI HACK + GUIDE 2017,TopNotchMoneyMaker69197,Hacking – Wireless Networks,Hacking – Wireless Networks,,TRUE
E-books,157405,TradeRoute,Crime and Punishment by Fyodor Dostoyevsky,Junkiepig66630498,eBooks – Other,eBooks – Other,,TRUE
E-books,112650,TradeRoute,PRIVATE UNDERGROUND AMAZON CARDING GUIDE,Torso215398,Carding,Carding,,TRUE
Security,117721,TradeRoute,BANK OF AMERICA BUSSINES MOBILE EXPLOIT,Torso216098,Hacking – Mobile,Hacking – Mobile,,TRUE
Information,108504,TradeRoute,BANK OF AMERICA BUSSINES MOBILE EXPLOIT,Torso212398,Hacking – Mobile,Hacking – Mobile,,TRUE
Security,136332,TradeRoute,Multiple VPN connections (highest safety),Dr.Whit389997,Anonymity – VPN,Anonymity – VPN,,TRUE
Guides & Tutorials,103321,TradeRoute,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso212498,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,132687,TradeRoute,Anarchist Cookbook 4,pckabml135100,Weaponry & Explosives,Weaponry & Explosives,,TRUE
Guides & Tutorials,134182,TradeRoute,"""7 in ONE"" VERY EXCLUSIVE PACKAGE ! *VIP* BEST PRICE",BarryBusiness38399,Other,Other,,TRUE
E-books,102226,TradeRoute,Tor and the Dark Art of Anonimity ★★★,Torso212498,Anonymity – Tor,Anonymity – Tor,,TRUE
Guides & Tutorials,162118,TradeRoute,Carding Vocabulary-TERMS Understanding the Business Language,l33ter129498,Carding,Carding,,TRUE
Security,159658,TradeRoute,★TORSO'S★ Chinese Goods Carding Guide,Torso216398,Carding,Carding,,TRUE
eBooks,91466,Silk3,Stay safe with tor MUST HAVE,CrypticKali,Anonymity – Tor,Anonymity – Tor,,TRUE
Guides & Tutorials,139816,TradeRoute,CC to BTC 2017 - make 7-8K $$ in month + 100% live support,rango23250,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,160634,TradeRoute,The Complete Cannabis Cultivator,james202027799,Drugs – Production,Drugs – Production,,TRUE
E-books,122853,TradeRoute,Aleister Crowley - The Book of Lies,captainkirk0--,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,113752,TradeRoute,Basic Tutorial For Carding From Ebay |EASY|,TheDigital13399,Carding,Carding,,TRUE
Guides & Tutorials,155690,TradeRoute,Cashout PP Method,l33ter128898,Cashing Out,Cashing Out,,TRUE
Security,297441,Hansa,$$$How To Set up a SOCKS Proxy Using Putty & SSH$$$,McDuck,Anonymity – Proxies,Anonymity – Proxies,,TRUE
Guides & Tutorials,106508,TradeRoute,Growing Elite Marijuana - The Complete Guide,Starbucks1100,Drugs – Production,Drugs – Production,,TRUE
E-books,115286,TradeRoute,Raspberry Pi 3 Projects for Java Programmers 2017,pckabml139100,eBooks – Tech,eBooks – Tech,,TRUE
E-books,157846,TradeRoute,How To Talk To Absolutely Anyone: Confident Communication,captainkirk0--,eBooks – Other,eBooks – Other,,TRUE
E-books,140117,TradeRoute,How To Make A Phishing Website,MoneyMule217898,Fraud,Fraud,,TRUE
